SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
522295,CONTROL PRNT,B ,Q,320.00,378.00,320.00,370.40,370.40,315.10,1779,135531,48223694.00,
522650,BEMCO HYDRAU,B ,Q,94.70,103.00,94.70,103.00,103.00,98.80,3,200,20472.00,
523007,ANSAL BUILD.,B ,Q,92.45,95.00,90.50,91.55,91.25,90.75,39,3311,302550.00,
523011,WEIZMANN LTD,B ,Q,15.80,18.55,15.80,17.75,17.75,16.75,98,15688,280221.00,
523019,B.N.RATHI SE,B ,Q,31.00,33.00,31.00,31.45,31.05,30.75,27,8895,282696.00,
523021,RISHITECH   ,B ,Q,6.82,6.82,6.82,6.82,6.82,6.50,2,201,1370.00,
523023,SINCLAIR HOT,B ,Q,438.00,440.00,390.00,392.70,392.70,429.80,87,4673,1974154.00,
523025,SAFARI IND. ,B ,Q,1010.00,1097.00,1002.50,1054.50,1050.00,1003.50,131,3140,3315518.00,
523054,BIN.TEX.PR(P,T ,Q,481.00,481.00,455.00,455.00,455.00,477.00,4,8,3820.00,
523100,COSMO FERR. ,B ,Q,12.00,12.80,12.00,12.02,12.00,12.21,30,6098,75176.00,
523113,FUTURA SEC. ,T ,Q,16.70,16.70,16.70,16.70,16.70,15.95,2,310,5177.00,
523116,SANCO TRANS ,B ,Q,304.00,304.00,296.00,302.00,302.00,308.00,9,2380,723374.00,
523120,ADOR MULTI. ,B ,Q,17.10,17.10,17.10,17.10,17.10,18.00,4,1000,17100.00,
523127,EIH ASSO.HOT,B ,Q,226.00,231.00,221.20,227.50,229.30,224.80,79,12292,2780717.00,
523133,BONANZA IND.,T ,Q,53.10,56.00,53.10,56.00,56.00,55.85,4,5200,276700.00,
523144,MEDI CAPS   ,B ,Q,26.80,27.70,25.30,26.75,26.75,25.90,586,215014,5738793.00,
523151,OTCO INTERN.,B ,Q,8.30,8.30,8.30,8.30,8.30,8.29,2,1000,8300.00,
523160,MORGAN CRU  ,T ,Q,461.00,490.00,461.00,485.00,485.00,479.60,23,629,305951.00,
523164,SIP INDUST. ,B ,Q,3.80,3.80,3.80,3.80,3.80,3.80,1,1,3.00,
523200,CLASS.DIAM. ,T ,Q,1.42,1.42,1.42,1.42,1.42,1.49,1,300,426.00,
523204,ABAN OFFSHO ,A ,Q,308.00,313.80,306.00,307.75,307.75,305.40,9641,464406,143649880.00,
523207,KOKUYOCMLN  ,B ,Q,117.70,124.90,115.00,119.30,119.30,115.70,3344,220358,26560343.00,
523218,KILBURN OFFI,B ,Q,3.58,3.94,3.58,3.58,3.58,3.76,5,865,3186.00,
523221,MCS LTD     ,B ,Q,4.00,4.25,3.94,3.98,3.98,4.37,15,8794,35296.00,
523229,BHARAT SEATS,B ,Q,36.00,40.50,35.30,37.85,38.00,36.40,423,88300,3434593.00,
